POS Position,Name,Team,Position,P Played,S Saves,S 7M saves,% 7M save accuracy,S Full back - Saves,% Full back - Save accuracy,P Centre back - Saves,% Centre back - Save accuracy,S Wing - Saves,% Wing - Save accuracy,S Pivot - Saves,% Pivot - Save accuracy,S Fast breaks - Saves,% Fast breaks - Save accuracy,G Goals
1,Milosavljev Dejan,BER,GK,37,365,19,19.59%,70,25.18,190,49.87,47,26.11,26,16.46,8,9.09,3
2,Semisch Malte,GWD,GK,38,344,8,10.81%,92,26.14,139,53.46,56,31.11,27,19.15,17,14.53,3
3,Johannesson Peter,TBV,GK,38,290,12,15.19%,67,21.61,134,42.27,32,23.36,29,18.24,12,10.08,4
4,Palicka Andreas,RNL,GK,32,280,8,16.00%,82,27.61,117,51.09,28,27.18,32,24.06,12,13.33,5
5,Green Jannick,SCM,GK,35,271,23,26.74%,49,27.68,116,39.46,53,36.30,18,15.00,8,11.59,-
6,Birlehm Joel,LEI,GK,38,270,18,22.50%,61,30.35,107,47.14,28,24.14,35,26.52,17,16.04,-
7,Jensen Mike,HBW,GK,38,268,20,24.39%,47,23.04,105,43.03,46,33.58,32,24.43,16,16.16,-
8,Landin Niklas,THW,GK,31,267,19,23.17%,64,32.99,84,37.33,54,36.24,35,31.82,9,14.06,-
9,Tomovski Martin,LUD,GK,37,247,17,20.48%,46,25.27,103,38.72,44,34.92,18,16.67,14,13.73,-
10,Bergerud Torbjorn,SGF,GK,38,247,17,20.48%,28,19.05,144,43.24,31,30.39,18,17.48,9,11.54,-
11,Klimpke Till,WET,GK,34,241,10,14.71%,67,29.39,92,42.01,25,24.04,24,21.24,21,18.26,3
12,Mrkva Tomas,BHC,GK,36,237,11,17.46%,63,28.13,87,41.04,37,39.36,24,23.76,14,17.07,2
13,Poltrum Konstantin,COB,GK,36,236,26,23.64%,55,25.00,77,40.10,39,28.47,18,17.65,16,16.00,2
14,Ziemer Martin,HCE,GK,38,230,15,17.65%,46,23.47,83,37.22,58,40.56,13,12.15,15,22.06,1
15,Bitter Johannes,TVB,GK,24,228,22,27.16%,57,29.69,83,39.90,25,33.78,29,22.48,11,14.29,-
16,Bliss Sebastian,TUE,GK,38,226,17,19.54%,50,22.42,90,38.79,38,26.39,15,14.85,13,18.31,-
17,Ebner Domenico,HAN,GK,38,223,16,22.54%,88,33.46,60,44.44,30,29.41,19,20.00,8,10.96,3
18,Simic Nebojsa,MTM,GK,38,219,20,25.32%,48,26.67,79,44.13,36,30.77,21,21.88,14,18.42,-
19,Kastelic Urh,FAG,GK,37,209,10,16.39%,65,28.51,82,40.00,21,26.25,14,21.88,10,11.63,2
20,Ravensbergen Bart,NOL,GK,38,208,16,23.53%,35,26.72,102,36.43,23,23.47,11,14.29,10,10.99,4
21,Heinevetter Silvio,MTM,GK,38,189,21,23.86%,35,20.23,69,35.20,32,34.41,16,22.22,13,14.61,-
22,Ferlin Klemen,HCE,GK,22,189,13,23.21%,37,33.94,70,39.77,35,32.71,19,26.39,11,15.94,-
23,Lesjak Urban,HAN,GK,37,187,13,20.63%,78,30.00,40,31.01,23,30.26,18,20.45,10,15.63,1
24,Rudeck Christopher,BHC,GK,38,181,9,18.37%,76,32.90,50,35.46,21,25.93,15,18.75,7,12.73,2
25,Buric Benjamin,SGF,GK,28,175,9,20.00%,33,26.40,96,43.84,18,28.57,13,20.31,6,14.29,-
26,Rebmann Daniel,FAG,GK,38,169,18,19.78%,36,18.95,69,39.66,19,22.62,15,19.23,7,12.50,-
27,Buhrmester Bjorn,NOL,GK,38,167,21,25.93%,29,21.17,65,35.14,29,29.90,8,7.69,9,13.24,1
28,Kulhanek Jan,COB,GK,37,152,3,15.79%,38,20.65,67,43.51,18,29.51,20,19.42,6,7.69,-
29,Ivanisevic Tibor,WET,GK,38,149,20,27.40%,24,21.05,66,36.87,16,21.92,14,22.95,8,14.04,-
30,Thulin Tobias Alexander Gustav,SCM,GK,38,148,16,28.07%,34,35.42,43,33.08,30,34.09,17,22.37,7,12.07,-
31,Diedrich Lukas,TUE,GK,31,143,10,18.52%,32,22.54,61,35.88,24,22.43,12,18.46,2,5.00,2
32,Quenstedt Dario,THW,GK,37,140,8,15.69%,34,28.10,63,43.45,18,20.69,12,17.65,4,8.51,1
33,Prost Primoz,TVB,GK,38,139,10,20.41%,36,22.64,64,33.86,14,16.67,11,12.94,4,6.67,-
34,Saeveraas Kristian,LEI,GK,34,135,2,3.39%,39,36.45,52,37.41,22,36.07,11,14.86,7,11.29,-
35,Skof Gorazd,LUD,GK,38,134,13,20.00%,22,21.36,50,39.37,27,33.75,15,18.52,7,17.07,-
36,Ruminsky Mario,HBW,GK,38,103,11,17.74%,24,19.35,43,38.05,16,27.12,5,9.09,3,7.32,1
37,Katsigiannis Nikolas,RNL,GK,30,93,9,28.13%,28,31.46,23,38.33,11,28.21,13,27.08,7,17.95,-
38,Spath David,RNL,GK,26,71,8,24.24%,15,26.79,25,49.02,11,32.35,8,22.86,4,23.53,1
39,Lichtlein Carsten,GWD,GK,38,65,19,22.62%,15,17.24,16,35.56,10,32.26,2,7.41,3,9.68,-
40,Genz Fredrik,BER,GK,38,46,3,14.29%,9,20.93,20,31.75,6,20.00,4,15.38,4,23.53,1
41,Zecher Finn,TBV,GK,19,33,3,15.79%,6,18.75,16,29.63,3,18.75,2,10.53,3,15.79,1
42,Bozic Vladimir,HBW,GK,21,27,4,16.00%,6,26.09,13,43.33,3,27.27,1,6.67,-,-,-
43,Van den Beucken Mark,TBV,GK,21,23,2,16.67%,5,17.86,9,37.50,3,30.00,1,10.00,3,20.00,-
44,Andersson Mattias,THW,GK,8,19,1,33.33%,8,50.00,6,30.00,4,57.14,-,-,-,-,-
45,Boieck Janis,HCE,GK,16,13,0,0.00%,5,35.71,6,60.00,1,16.67,-,-,1,25.00,-
46,Fuchs Arne,TUE,GK,13,12,0,0.00%,3,25.00,5,31.25,2,22.22,1,10.00,1,16.67,-
47,Putera Milos,LEI,GK,7,7,0,0.00%,4,50.00,-,-,2,50.00,1,20.00,-,-,-
48,Lehmann Nick,TVB,GK,8,6,2,50.00%,1,20.00,1,12.50,1,25.00,-,-,1,33.33,-
49,Behrendt Niclas,SCM,GK,5,6,0,0.00%,2,50.00,4,57.14,-,-,-,-,-,-,-
50,Apfel Fabian,COB,GK,11,4,0,0.00%,-,-,1,16.67,1,20.00,2,66.67,-,-,-
51,Simonsen Christian Ole,LEI,GK,4,3,1,50.00%,-,-,1,50.00,-,-,1,-,-,-,-
52,Hummel Finn,TVB,GK,2,3,-,-,-,-,1,16.67,1,-,-,-,1,50.00,-
53,Ludwig Lasse,BER,GK,2,3,0,0.00%,-,-,3,42.86,-,-,-,-,-,-,-
54,Rica-Kovac Sebastian,TVB,GK,4,2,-,-,1,50.00,-,-,-,-,1,33.33,-,-,-
55,Hoblaj Leon,LUD,GK,15,2,-,-,-,-,1,-,-,-,-,-,1,-,-
56,Suljakovic Anadin,WET,GK,12,2,0,0.00%,1,50.00,1,50.00,-,-,-,-,-,-,-
57,Grupe Mats,RNL,GK,1,2,-,-,1,50.00,-,-,-,-,1,-,-,-,-
58,Klama Joonas,BHC,GK,2,1,-,-,-,-,-,-,1,-,-,-,-,-,-
59,Backhaus Theodor Felix,SGF,GK,7,1,-,-,-,-,1,25.00,-,-,-,-,-,-,-
60,Fritz Henning,SGF,GK,8,-,0,0.00%,-,-,-,-,-,-,-,-,-,-,-
61,Ritschel Matthias,HCE,GK,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,Appelgren Mikael,RNL,GK,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,Dreyer Paul,COB,GK,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,Wernlein Felix,HAN,GK,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,Grabenstein Leon,GWD,GK,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,Patzwaldt Janik,SCM,GK,2,-,0,0.00%,-,-,-,-,-,-,-,-,-,-,-
67,Muhlenstadt Timon,TBV,GK,1,-,0,0.00%,-,-,-,-,-,-,-,-,-,-,-
68,Saggau Philip Hartwig,THW,GK,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,Scheiner Joshua,TVB,GK,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,Buchele Julian,FAG,GK,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
